234,211,120,184,192,73,62,144
192,13,62,61,250,66,196,190
9,85,165,26,2,162,127,47
73,141,112,71,86,215,77,62
21,42,202,174,68,89,9,21
216,112,63,127,0,16,164,197
3,119,9,64,147,25,54,24
41,31,201,236,237,180,116,1
176,129,163,47,102,93,88,192
52,249,85,80,127,132,201,121
25,166,119,88,120,127,160,221
17,62,160,12,228,90,186,178
126,142,80,240,107,121,21,149
0,58,29,52,26,243,169,108
62,29,47,221,40,226,241,149
183,27,164,114,216,224,28,224
0,52,232,112,184,141,223,74
84,202,137,182,236,124,67,174
153,62,208,241,57,171,217,95
35,75,6,75,158,200,69,35
248,237,184,118,59,12,44,43
28,18,21,106,111,152,67,211
99,8,156,4,242,132,27,194
37,207,89,142,196,81,189,192
137,79,199,184,63,254,165,71
208,111,146,16,23,55,236,201
84,30,243,200,120,28,8,223
45,107,215,245,218,193,241,168
138,52,121,126,36,234,78,134
25,139,18,37,126,57,52,201
242,18,213,178,43,207,226,110
133,127,183,40,87,122,200,217
169,186,214,194,180,238,130,30
70,61,149,119,67,133,220,117
119,237,0,149,241,37,144,234
53,251,242,239,227,53,126,154
33,58,91,170,221,65,182,217
9,83,254,229,139,227,155,104
65,21,185,186,90,54,151,28
114,134,210,134,16,94,152,185
242,182,10,233,86,132,165,37
62,75,105,130,211,176,49,143
194,214,57,196,241,163,30,41
185,162,17,172,143,76,59,68
62,71,56,205,128,17,64,196
223,23,153,248,156,225,31,63
96,234,248,231,0,9,86,72
137,77,148,4,180,224,141,82
145,228,46,80,96,251,104,129
124,174,129,206,34,124,161,185
113,41,176,34,249,126,109,183
101,53,80,122,236,208,35,127
141,7,245,34,236,90,199,179
61,50,188,138,7,67,13,126
113,110,6,159,87,254,205,19
85,153,142,68,203,73,255,202
116,210,8,40,129,70,241,242
53,133,8,102,181,6,125,111
132,143,41,137,64,77,8,162
32,195,7,89,53,13,248,10
246,180,104,255,87,47,179,27
28,201,120,100,202,237,223,73
164,25,193,211,59,31,207,149
212,216,194,238,208,192,114,243
186,206,4,134,224,154,160,71
224,111,7,217,31,30,45,23
204,194,151,124,247,232,191,2
107,92,134,147,201,62,126,34
149,12,72,159,193,139,250,84
213,254,19,214,110,213,253,91
195,159,32,72,131,150,36,169
144,215,148,12,209,160,253,170
92,113,67,76,37,190,72,201
93,97,217,11,103,214,188,55
54,201,185,112,254,163,27,201
62,204,171,68,13,182,252,221
107,18,128,160,53,50,145,195
113,255,205,245,127,148,136,5
225,113,112,156,228,147,162,47
